 

stn    time           rre150d0
LSN    19010114            0.0
LSN    19010115            0.0
LSN    19010116            0.0
LSN    19010117            0.0
LSN    19010118            0.0
LSN    19010119            0.0
LSN    19010120            1.2
LSN    19010121            0.4
LSN    19010122            0.0
LSN    19010123            0.0
LSN    19010124            0.0
LSN    19010125            3.0
LSN    19010126            9.5
LSN    19010127            4.3
LSN    19010128            9.3
LSN    19010129            0.2
LSN    19010130            0.0
LSN    19010131            0.0
LSN    19010201            6.5
LSN    19010202            3.1
LSN    19010203            1.2
LSN    19010204           17.8
LSN    19010205            3.1
LSN    19010206            0.6
LSN    19010207            0.1
LSN    19010208            0.0
LSN    19010209            0.0
LSN    19010210            0.0
LSN    19010211            0.0
LSN    19010212            0.0
LSN    19010213            3.6
LSN    19010214            0.0
LSN    19010215            0.0
LSN    19010216            2.3
LSN    19010217            0.7
LSN    19010218            0.0
LSN    19010219            0.0
LSN    19010220            0.0
LSN    19010221            0.0
LSN    19010222            0.0
LSN    19010223            0.0
LSN    19010224            0.0
LSN    19010225            0.0
LSN    19010226            0.0
LSN    19010227            0.1
LSN    19010228            5.0
LSN    19010301            2.9
LSN    19010302           15.0
LSN    19010303           11.6
LSN    19010304            9.0
LSN    19010305            4.1
LSN    19010306            6.0
LSN    19010307            0.0
LSN    19010308            0.0
LSN    19010309            0.0
LSN    19010310            0.1
LSN    19010311            0.1
LSN    19010312            2.5
LSN    19010313            0.0
LSN    19010314            0.0
LSN    19010315            2.2
LSN    19010316            1.4
LSN    19010317            0.3
LSN    19010318            0.0
LSN    19010319            0.0
LSN    19010320           13.5
LSN    19010321            8.5
LSN    19010322            0.0
LSN    19010323            0.0
LSN    19010324            0.0
LSN    19010325            0.0
LSN    19010326            1.0
LSN    19010327            0.1
LSN    19010328            0.7
LSN    19010329            0.0
LSN    19010330            0.0
LSN    19010331            0.0
LSN    19010401           24.4
LSN    19010402            0.0
LSN    19010403            0.1
LSN    19010404            2.5
LSN    19010405           19.2
LSN    19010406            9.0
LSN    19010407            5.6
LSN    19010408            0.0
LSN    19010409           12.6
LSN    19010410           13.2
LSN    19010411            2.6
LSN    19010412           14.3
LSN    19010413            0.8
LSN    19010414           15.5
LSN    19010415            0.3
LSN    19010416            4.0
LSN    19010417            6.0
LSN    19010418            0.0
LSN    19010419            0.0
LSN    19010420            0.0
LSN    19010421            0.0
LSN    19010422            0.0
LSN    19010423            0.0
LSN    19010424            0.0
LSN    19010425            1.1
LSN    19010426           10.2
LSN    19010427            4.1
LSN    19010428            0.3
LSN    19010429            7.1
LSN    19010430            7.3
LSN    19010501            0.0
LSN    19010502            0.0
LSN    19010503            0.1
LSN    19010504            0.0
LSN    19010505            0.0
LSN    19010506            4.8
LSN    19010507            7.2
LSN    19010508            3.0
LSN    19010509            0.0
LSN    19010510            0.0
LSN    19010511            0.0
LSN    19010512            0.0
LSN    19010513            0.0
LSN    19010514            0.0
LSN    19010515            0.0
LSN    19010516            0.0
LSN    19010517            0.0
LSN    19010518            0.0
LSN    19010519            0.0
LSN    19010520            0.0
LSN    19010521            0.0
LSN    19010522            1.5
LSN    19010523            1.2
LSN    19010524            0.0
LSN    19010525            0.2
LSN    19010526            2.6
LSN    19010527            0.0
LSN    19010528            0.0
LSN    19010529            0.0
LSN    19010530            0.0
LSN    19010531            0.0
LSN    19010601            0.0
LSN    19010602            5.4
LSN    19010603            0.0
LSN    19010604            0.0
LSN    19010605            0.0
LSN    19010606            0.0
LSN    19010607            0.7
LSN    19010608            0.0
LSN    19010609           13.4
LSN    19010610            5.3
LSN    19010611            0.1
LSN    19010612            0.0
LSN    19010613            0.0
LSN    19010614           34.8
LSN    19010615           12.7
LSN    19010616            6.5
LSN    19010617            3.9
LSN    19010618            9.7
LSN    19010619            0.6
