Stationsnummer: 2269
Stationsname: Blatten
DBLH-Nr: 00793
Gewässer: Lonza
Exportperiode: 1956-01-01 - 2024-10-10
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-10 00:00:00;;0.580;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-11 00:00:00;;0.780;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-12 00:00:00;;1.030;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-13 00:00:00;;1.180;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-14 00:00:00;;1.060;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-15 00:00:00;;1.180;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-16 00:00:00;;1.440;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-17 00:00:00;;1.330;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-18 00:00:00;;1.180;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-19 00:00:00;;1.060;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-20 00:00:00;;1.000;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-21 00:00:00;;0.970;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-22 00:00:00;;0.910;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-23 00:00:00;;0.910;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-24 00:00:00;;0.910;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-25 00:00:00;;1.000;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-26 00:00:00;;1.150;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-27 00:00:00;;1.370;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-28 00:00:00;;1.480;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-29 00:00:00;;1.480;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-04-30 00:00:00;;1.400;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-01 00:00:00;;1.330;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-02 00:00:00;;1.250;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-03 00:00:00;;1.290;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-04 00:00:00;;1.590;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-05 00:00:00;;1.950;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-06 00:00:00;;2.520;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-07 00:00:00;;3.230;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-08 00:00:00;;4.100;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-09 00:00:00;;4.720;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-10 00:00:00;;4.540;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-11 00:00:00;;3.380;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-12 00:00:00;;2.710;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-13 00:00:00;;2.360;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-14 00:00:00;;2.460;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-15 00:00:00;;2.830;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-16 00:00:00;;3.380;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-17 00:00:00;;4.010;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-18 00:00:00;;4.450;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-19 00:00:00;;5.030;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-20 00:00:00;;4.190;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-21 00:00:00;;4.010;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-22 00:00:00;;4.720;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-23 00:00:00;;5.680;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-24 00:00:00;;5.570;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-25 00:00:00;;4.720;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-26 00:00:00;;4.540;Freigegeben, validierte Daten
Blatten;2269;Abfluss;Tagesmittel;m3/s;Lonza;1956-05-27 00:00:00;;5.780;Freigegeben, validierte Daten
